metric,value,real,fake,net
fid,0.1409633688852725,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,"discriminator_1,2,3",mae_vitb16
fid,0.0182798830301788,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,full_projectedgan_baseline,random_inception_v3
kid,0.2824707285110109,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_500steps_train_250_steps_inference_58Ktraining,inception_v3
fid,6.264206886259299,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_1000steps_train_250_steps_inference_58Ktraining_small_unet,vicreg_rn50_solar_v2
fid,160.18329400114357,"image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED299CS_0.1,1_CR_1,1","unfreeze_feature_network-CROPPED299CS_0.1,1_CR_1,1",inception_v3
fid,32.61011640158921,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED64,diffusion_1000steps_train_125_steps_inference_58Ktraining-CROPPED64,vicreg_rn50_solar_v2
fid,170.67629006107472,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_2000steps_train_250_steps_inference_58Ktraining,inception_v3
fid,0.2097490909579039,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,diffusion_2000steps_train_250_steps_inference_58Ktraining,random_inception_v3
fid,1.6756193472998575,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED128,efficientnet-lite3-CROPPED128,mae_solarp128_vitb16
fid,0.7849174587096859,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,randomly_initialized_feature_network_unfrozen,mae_solar_vitb16
fid,7.75511394583981,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections,discriminator_1,vicreg_rn50_solar
fid,187.7969913055396,image_folder_1024x1024_normalized_log_transform_193A_40K_with_lev1.5_corrections-CROPPED256,randomly_initialized_feature_network_unfrozen-CROPPED256,inception_v3
